epoch:   0 	 loss: 22.442 	 return: 24.320 	 ep_len: 24.320
epoch:   1 	 loss: 26.592 	 return: 29.680 	 ep_len: 29.680
epoch:   2 	 loss: 29.173 	 return: 31.772 	 ep_len: 31.772
epoch:   3 	 loss: 28.881 	 return: 34.320 	 ep_len: 34.320
epoch:   4 	 loss: 35.192 	 return: 39.722 	 ep_len: 39.722
epoch:   5 	 loss: 37.709 	 return: 44.628 	 ep_len: 44.628
epoch:   6 	 loss: 48.745 	 return: 52.375 	 ep_len: 52.375
epoch:   7 	 loss: 42.438 	 return: 53.903 	 ep_len: 53.903
epoch:   8 	 loss: 46.180 	 return: 57.443 	 ep_len: 57.443
epoch:   9 	 loss: 49.716 	 return: 59.953 	 ep_len: 59.953
epoch:  10 	 loss: 47.321 	 return: 59.857 	 ep_len: 59.857
epoch:  11 	 loss: 46.938 	 return: 61.390 	 ep_len: 61.390
epoch:  12 	 loss: 54.260 	 return: 70.222 	 ep_len: 70.222
epoch:  13 	 loss: 52.311 	 return: 76.606 	 ep_len: 76.606
epoch:  14 	 loss: 55.053 	 return: 77.185 	 ep_len: 77.185
epoch:  15 	 loss: 59.222 	 return: 81.145 	 ep_len: 81.145
epoch:  16 	 loss: 51.181 	 return: 75.015 	 ep_len: 75.015
epoch:  17 	 loss: 55.452 	 return: 79.651 	 ep_len: 79.651
epoch:  18 	 loss: 59.239 	 return: 87.517 	 ep_len: 87.517
epoch:  19 	 loss: 47.498 	 return: 72.638 	 ep_len: 72.638
epoch:  20 	 loss: 53.378 	 return: 82.468 	 ep_len: 82.468
epoch:  21 	 loss: 53.824 	 return: 85.661 	 ep_len: 85.661
epoch:  22 	 loss: 50.910 	 return: 79.571 	 ep_len: 79.571
epoch:  23 	 loss: 60.853 	 return: 97.308 	 ep_len: 97.308
epoch:  24 	 loss: 58.569 	 return: 93.944 	 ep_len: 93.944
epoch:  25 	 loss: 66.459 	 return: 100.900 	 ep_len: 100.900
epoch:  26 	 loss: 66.523 	 return: 110.652 	 ep_len: 110.652
epoch:  27 	 loss: 65.211 	 return: 100.960 	 ep_len: 100.960
epoch:  28 	 loss: 63.970 	 return: 103.102 	 ep_len: 103.102
epoch:  29 	 loss: 64.800 	 return: 108.128 	 ep_len: 108.128
epoch:  30 	 loss: 68.286 	 return: 110.848 	 ep_len: 110.848
epoch:  31 	 loss: 68.677 	 return: 117.093 	 ep_len: 117.093
epoch:  32 	 loss: 80.271 	 return: 132.263 	 ep_len: 132.263
epoch:  33 	 loss: 92.622 	 return: 149.235 	 ep_len: 149.235
epoch:  34 	 loss: 97.808 	 return: 161.219 	 ep_len: 161.219
epoch:  35 	 loss: 107.647 	 return: 180.071 	 ep_len: 180.071
epoch:  36 	 loss: 122.119 	 return: 193.154 	 ep_len: 193.154
epoch:  37 	 loss: 139.210 	 return: 231.591 	 ep_len: 231.591
epoch:  38 	 loss: 152.684 	 return: 253.900 	 ep_len: 253.900
epoch:  39 	 loss: 182.779 	 return: 300.647 	 ep_len: 300.647
epoch:  40 	 loss: 238.661 	 return: 417.750 	 ep_len: 417.750
epoch:  41 	 loss: 237.908 	 return: 424.667 	 ep_len: 424.667
epoch:  42 	 loss: 258.245 	 return: 460.455 	 ep_len: 460.455
epoch:  43 	 loss: 252.505 	 return: 457.545 	 ep_len: 457.545
epoch:  44 	 loss: 247.799 	 return: 465.364 	 ep_len: 465.364
epoch:  45 	 loss: 231.464 	 return: 431.083 	 ep_len: 431.083
epoch:  46 	 loss: 232.674 	 return: 431.583 	 ep_len: 431.583
epoch:  47 	 loss: 249.217 	 return: 473.545 	 ep_len: 473.545
epoch:  48 	 loss: 243.796 	 return: 462.364 	 ep_len: 462.364
epoch:  49 	 loss: 250.081 	 return: 479.545 	 ep_len: 479.545
epoch:  50 	 loss: 256.312 	 return: 500.000 	 ep_len: 500.000
epoch:  51 	 loss: 254.883 	 return: 500.000 	 ep_len: 500.000
epoch:  52 	 loss: 255.790 	 return: 500.000 	 ep_len: 500.000
epoch:  53 	 loss: 247.431 	 return: 473.636 	 ep_len: 473.636
epoch:  54 	 loss: 247.471 	 return: 479.727 	 ep_len: 479.727
epoch:  55 	 loss: 253.487 	 return: 500.000 	 ep_len: 500.000
epoch:  56 	 loss: 243.776 	 return: 458.545 	 ep_len: 458.545
epoch:  57 	 loss: 253.554 	 return: 500.000 	 ep_len: 500.000
epoch:  58 	 loss: 252.484 	 return: 489.000 	 ep_len: 489.000
epoch:  59 	 loss: 250.901 	 return: 470.727 	 ep_len: 470.727
epoch:  60 	 loss: 256.568 	 return: 493.636 	 ep_len: 493.636
